['AHAA66273', '安徽百姓缘大药房连锁有限公司翡翠路店', '安徽省合肥市经济技术开发区翡翠路以西、芙蓉路以北瑞格花园超市\n', '31.790237,117.208887']
['AHAA63708', '安徽百姓缘大药房连锁有限公司繁华大道店', '合肥市包河区内蒙古路1号\n', '31.78838,117.33413']
['AHAA62014', '安徽百姓缘大药房连锁有限公司胜利路店', '安徽省合肥市瑶海区胜利路交通饭店4幢\n', '31.86771,117.3024']
['AHAA65015', '合肥为民大药房连锁有限公司金寨路店', '合肥市蜀山区金寨路161号新瑞祺大厦一层J区03号\n', '31.84107,117.26818']
['AHAA63413', '安徽百姓缘大药房连锁有限公司望江西路二店', '合肥市高新区望江西路800号\n', '31.832493,117.137851']
['AHAA61881', '安徽百姓缘大药房连锁有限公司为民漕冲店', '合肥市瑶海区站塘路东苑雅居10幢104号\n', '31.87334,117.34566']
['AHAA61778', '安徽百姓缘大药房连锁有限公司为民百花井店', '合肥市庐阳区荣事达大道38号\n', '31.868048,117.286611']
['AHAA65014', '安徽百姓缘大药房连锁有限公司为民五河路店', '合肥市庐阳区五河路229号4号楼\n', '31.87656,117.28084']
['AHAA63115', '安徽百姓缘大药房连锁有限公司皖河路店', '合肥市包河区东流路9号\n', '31.81524,117.29759']
['AHAA61866', '安徽百姓缘大药房连锁有限公司香樟大道店', '安徽省合肥市高新区香樟大道272号\n', '31.83393,117.19494']
['AHAA64404', '安徽百姓缘大药房连锁有限公司十里店路店', '合肥市蜀山区十里店路公园道壹号7#一层103室\n', '31.85897,117.22239']
['AHAA58830', '安徽百姓缘大药房连锁有限公司为民无为路店', '合肥市庐阳区无为路28号雍景苑1幢102室\n', '31.85934,117.29205']
['AHAA58831', '安徽百姓缘大药房连锁有限公司为民阳光花园店', '合肥市包河区世纪阳光花园青阳苑D1-3幢113室\n', '31.83632,117.30035']
['AHAA56989', '安徽百姓缘大药房连锁有限公司为民阜阳路店', '合肥市庐阳区荣事达大道223号\n', '31.878230000000027,117.28743000000003']
['AHAA54304', '百姓缘合肥东湖店', '安徽省合肥市新站区天柱山路东湖山庄碧云阁14幢103、203号\n', '31.893709999999988,117.31849']
['AHAA45077', '安徽省合肥市安徽百姓缘大药房连锁有限公司小里岗', '合肥市上派路9号曙宏南苑9幢商业105、106室\n', '31.825290000000006,117.27583999999997']
['AHAA46182', '安徽百姓缘大药房连锁屯溪路店', '合肥市包河区屯溪路193号合肥工业大学内\n', '31.84471,117.29544']
['AHAA44630', '安徽省合肥市安徽百姓缘大药房连锁有限公司龙泉西路', '安徽省合肥市肥东县店埠镇龙泉路西49号\n', '31.87923,117.48197']
['AHAA46181', '安徽省合肥市安徽百姓缘大药房连锁有限公司大通路店', '安徽省合肥市瑶海区大通路38中斜对面\n', '31.85977,117.3174']
['AHAA44633', '安徽省合肥市安徽百姓缘大药房连锁有限公司蜀山南', '合肥市蜀山区望江路综合楼104-204\n', '31.82975,117.26342']
['AHAA45075', '安徽省合肥市安徽百姓缘大药房连锁有限公司徽州大', '安徽省合肥市徽州大道1024号底层沿街门面房\n', '31.82655,117.28508']
['AHAA45706', '安徽省合肥市安徽百姓缘大药房连锁有限公司骆园小区', '合肥市瑶海区濉溪东路88号\n', '31.880519999999997,117.30074999999997']
